SampleNumber,DecayClass,WoodType,TreeSpecies,Region,SiteID
14011,1,softwood,Black spruce,Northwest,1
14012,1,softwood,Black spruce,Northwest,1
14013,1,softwood,Black spruce,Northwest,1
14021,2,softwood,Black spruce,Northwest,1
14022,2,softwood,Black spruce,Northwest,1
14023,2,softwood,Black spruce,Northwest,1
14031,3,softwood,Black spruce,Northwest,1
14032,3,softwood,Black spruce,Northwest,1
14033,3,softwood,Black spruce,Northwest,1
14041,4,softwood,Black spruce,Northwest,1
14042,4,softwood,Black spruce,Northwest,1
14043,4,softwood,Black spruce,Northwest,1
14051,5,softwood,Black spruce,Northwest,1
14052,5,softwood,Black spruce,Northwest,1
14053,5,softwood,Black spruce,Northwest,1
14061,1,hardwood,Trembling aspen,Northwest,1
14062,1,hardwood,Trembling aspen,Northwest,1
14063,1,hardwood,Trembling aspen,Northwest,1
14071,2,hardwood,Trembling aspen,Northwest,1
14072,2,hardwood,Trembling aspen,Northwest,1
14073,2,hardwood,Trembling aspen,Northwest,1
14081,3,hardwood,Trembling aspen,Northwest,1
14082,3,hardwood,Trembling aspen,Northwest,1
14083,3,hardwood,Trembling aspen,Northwest,1
14091,4,hardwood,Trembling aspen,Northwest,1
14092,4,hardwood,Trembling aspen,Northwest,1
14093,4,hardwood,Trembling aspen,Northwest,1
14101,5,hardwood,Trembling aspen,Northwest,1
15011,1,softwood,Black spruce,Northwest,2
15012,1,softwood,Black spruce,Northwest,2
15013,1,softwood,Black spruce,Northwest,2
15021,2,softwood,Black spruce,Northwest,2
15022,2,softwood,Black spruce,Northwest,2
15023,2,softwood,Black spruce,Northwest,2
15031,3,softwood,Black spruce,Northwest,2
15032,3,softwood,Black spruce,Northwest,2
15033,3,softwood,Black spruce,Northwest,2
15041,4,softwood,Black spruce,Northwest,2
15042,4,softwood,Black spruce,Northwest,2
15051,5,softwood,Black spruce,Northwest,2
15052,5,softwood,Black spruce,Northwest,2
15053,5,softwood,Jack pine,Northwest,2
15061,1,softwood,Trembling aspen,Northwest,2
15062,1,hardwood,Trembling aspen,Northwest,2
15063,1,hardwood,Trembling aspen,Northwest,2
15071,2,hardwood,Trembling aspen,Northwest,2
15072,2,hardwood,Trembling aspen,Northwest,2
15073,2,hardwood,Trembling aspen,Northwest,2
15081,3,hardwood,Trembling aspen,Northwest,2
15082,3,hardwood,Trembling aspen,Northwest,2
15083,3,hardwood,Trembling aspen,Northwest,2
15091,4,hardwood,Trembling aspen,Northwest,2
15092,4,hardwood,Trembling aspen,Northwest,2
15093,4,hardwood,Trembling aspen,Northwest,2
15101,5,hardwood,Trembling aspen,Northwest,2
15102,5,hardwood,Trembling aspen,Northwest,2
15103,5,hardwood,Trembling aspen,Northwest,2
15104,5,hardwood,Trembling aspen,Northwest,2
15105,5,hardwood,Trembling aspen,Northwest,2
16011,1,softwood,Black spruce,Northwest,3
16012,1,softwood,Black spruce,Northwest,3
16013,1,softwood,Black spruce,Northwest,3
16021,2,softwood,Jack pine,Northwest,3
16022,2,softwood,Jack pine,Northwest,3
16023,2,softwood,Jack pine,Northwest,3
16031,3,softwood,Jack pine,Northwest,3
16032,3,softwood,Black spruce,Northwest,3
16033,3,softwood,Jack pine,Northwest,3
16041,4,softwood,Black spruce,Northwest,3
16042,4,softwood,Black spruce,Northwest,3
16043,4,softwood,Black spruce,Northwest,3
16051,5,softwood,Jack pine,Northwest,3
16052,5,softwood,Jack pine,Northwest,3
16053,5,softwood,Black spruce,Northwest,3
16061,1,hardwood,Trembling aspen,Northwest,3
16062,1,hardwood,Trembling aspen,Northwest,3
16063,1,hardwood,Trembling aspen,Northwest,3
16071,2,hardwood,Trembling aspen,Northwest,3
16072,2,hardwood,Trembling aspen,Northwest,3
16073,2,hardwood,Trembling aspen,Northwest,3
16081,3,hardwood,Trembling aspen,Northwest,3
16082,3,hardwood,Trembling aspen,Northwest,3
16083,3,hardwood,Trembling aspen,Northwest,3
16091,4,hardwood,Trembling aspen,Northwest,3
16092,4,hardwood,Trembling aspen,Northwest,3
16093,4,hardwood,Trembling aspen,Northwest,3
16101,5,hardwood,Trembling aspen,Northwest,3
16102,5,hardwood,Trembling aspen,Northwest,3
16103,5,hardwood,Trembling aspen,Northwest,3
24011,1,softwood,Jack pine,Northeast,1
24012,1,softwood,Jack pine,Northeast,1
24013,1,softwood,Jack pine,Northeast,1
24021,2,softwood,Jack pine,Northeast,1
24022,2,softwood,Jack pine,Northeast,1
24023,2,softwood,Jack pine,Northeast,1
24031,3,softwood,Jack pine,Northeast,1
24032,3,softwood,Jack pine,Northeast,1
24033,3,softwood,Jack pine,Northeast,1
24041,4,softwood,Jack pine,Northeast,1
24042,4,softwood,Jack pine,Northeast,1
24043,4,softwood,Jack pine,Northeast,1
24051,5,softwood,Jack pine,Northeast,1
24052,5,softwood,Jack pine,Northeast,1
24053,5,softwood,Jack pine,Northeast,1
24061,1,hardwood,Trembling aspen,Northeast,1
24062,1,hardwood,Trembling aspen,Northeast,1
24063,1,hardwood,Trembling aspen,Northeast,1
24071,2,hardwood,Trembling aspen,Northeast,1
24072,2,hardwood,Trembling aspen,Northeast,1
24073,2,hardwood,Trembling aspen,Northeast,1
24081,3,hardwood,Trembling aspen,Northeast,1
24082,3,hardwood,Trembling aspen,Northeast,1
24083,3,hardwood,Trembling aspen,Northeast,1
24091,4,hardwood,Trembling aspen,Northeast,1
24092,4,hardwood,Trembling aspen,Northeast,1
24093,4,hardwood,Trembling aspen,Northeast,1
24101,5,hardwood,Trembling aspen,Northeast,1
24102,5,hardwood,Trembling aspen,Northeast,1
24103,5,hardwood,Trembling aspen,Northeast,1
25011,1,softwood,Jack pine,Northeast,2
25012,1,softwood,Jack pine,Northeast,2
25013,1,softwood,Jack pine,Northeast,2
25021,2,softwood,Jack pine,Northeast,2
25022,2,softwood,Jack pine,Northeast,2
25023,2,softwood,Jack pine,Northeast,2
25031,3,softwood,Jack pine,Northeast,2
25032,3,softwood,Jack pine,Northeast,2
25033,3,softwood,Jack pine,Northeast,2
25041,4,softwood,Jack pine,Northeast,2
25042,4,softwood,Jack pine,Northeast,2
25043,4,softwood,Jack pine,Northeast,2
25051,5,softwood,Jack pine,Northeast,2
25052,5,softwood,Jack pine,Northeast,2
25053,5,softwood,Jack pine,Northeast,2
25061,1,hardwood,Trembling aspen,Northeast,2
25062,1,hardwood,Trembling aspen,Northeast,2
25063,1,hardwood,Trembling aspen,Northeast,2
25071,2,hardwood,Trembling aspen,Northeast,2
25072,2,hardwood,Trembling aspen,Northeast,2
25073,2,hardwood,Trembling aspen,Northeast,2
25081,3,hardwood,Trembling aspen,Northeast,2
25082,3,hardwood,Trembling aspen,Northeast,2
25083,3,hardwood,Trembling aspen,Northeast,2
25091,4,hardwood,Trembling aspen,Northeast,2
25092,4,hardwood,Trembling aspen,Northeast,2
25093,4,hardwood,Trembling aspen,Northeast,2
25101,5,hardwood,Trembling aspen,Northeast,2
25102,5,hardwood,Trembling aspen,Northeast,2
25103,5,hardwood,Trembling aspen,Northeast,2
26011,1,softwood,Jack pine,Northeast,3
26012,1,softwood,Jack pine,Northeast,3
26013,1,softwood,Jack pine,Northeast,3
26021,2,softwood,Jack pine,Northeast,3
26022,2,softwood,Jack pine,Northeast,3
26023,2,softwood,Jack pine,Northeast,3
26031,3,softwood,Jack pine,Northeast,3
26032,3,softwood,Jack pine,Northeast,3
26033,3,softwood,Jack pine,Northeast,3
26041,4,softwood,Jack pine,Northeast,3
26042,4,softwood,Jack pine,Northeast,3
26043,4,softwood,Jack pine,Northeast,3
26051,5,softwood,Jack pine,Northeast,3
26052,5,softwood,Jack pine,Northeast,3
26053,5,softwood,Jack pine,Northeast,3
26061,1,hardwood,Trembling aspen,Northeast,3
26062,1,hardwood,Trembling aspen,Northeast,3
26063,1,hardwood,Trembling aspen,Northeast,3
26071,2,hardwood,Trembling aspen,Northeast,3
26072,2,hardwood,Trembling aspen,Northeast,3
26073,2,hardwood,Trembling aspen,Northeast,3
26081,3,hardwood,Trembling aspen,Northeast,3
26082,3,hardwood,Trembling aspen,Northeast,3
26083,3,hardwood,Trembling aspen,Northeast,3
26091,4,hardwood,Trembling aspen,Northeast,3
26092,4,hardwood,Trembling aspen,Northeast,3
26093,4,hardwood,Trembling aspen,Northeast,3
26101,5,hardwood,Trembling aspen,Northeast,3
26102,5,hardwood,Trembling aspen,Northeast,3
26103,5,hardwood,Trembling aspen,Northeast,3